Tarea,Detalle,Dia
13.6. Camarero Mesa 6,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.7. Camarero Mesa 7,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.8. Camarero Mesa 8,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.9.  Camarero Mesa 9,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
13.10. Camarero Mesa 10,"Son los encargados de llevar la comida, bebidas, y todo lo necesario que las mesas necesiten durante las comidas.",Todos los dias
14.1. Campanilla,Llevan los tiempos del retiro y se encargan de avisar a los caminantes cuando deben de pasar a otro momento del retiro y a dónde ir.,Todos los dias
14.2. Asignación mesas,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar. 
Un ángel de la guarda (en general) al final de todas las explicaciones del viernes antes de cenar, va llamando nombre por nombre a los caminantes en el orden de las mesas. Así los caminantes salen junto a sus servidores de mesa de la sala de charlas y se dirigen al comedor para cenar. ",Viernes
14.3. Texto Effeta,Se encarga de la lectura del texto de Effeta durante las diferentes partes del retiro (Anexo 7). También de dar una pequeña reflexión de cada trozo del pasaje.,Viernes
14.4. Luz,Explica a los caminantes y servidores qué simboliza la luz de la dinámica Enciende una Luz que se realiza el viernes en la cena,Viernes
14.5. Diario,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar.
Explica a los caminantes qué es la libreta que se les ha entregado, para que sirve...",Viernes
14.6. Palanquitas,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar.
Explica el significado de la palabra “palanca”, haciendo hincapié en el lado más espiritual.",Viernes
14.7. Cantar Orando,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar.
Explica el por qué de la música durante el retiro de Effetá, por qué cantamos.",Viernes
14.8. Santísimo,"En capilla, durante la oración de inicio Sábado, se explica qué es el Santísimo Sacramento, eje espiritual del retiro y que estará expuesto en la capilla todo el fin de semana.",Sabado
14.10. Confidencialidad,"En la sala de charlas durante la bienvenida del viernes antes de ir a cenar y también en capilla el sábado por la tarde se recuerda. Se repite varias veces debido a la importancia que tiene. Ver el min a min. 
Un servidor explica la importancia de la confidencialidad en el retiro.",Viernes
14.11. Sanando mi alma,Un servidor dirige en la capilla esta dinámica que se realiza el sábado por la tarde. La carta que ayuda a preparar la confesión (sin explicar que es porque van a tener la oportunidad de confersarse). Suele ser el líder o colíder de capilla y suele ir acompañado del ángel de la guarda de caminantes,Sabado
14.12. Biblias,"Un servidor (habitualmente del equipo de logística), tras el pasaje 3 de Effetá, en la sala de charlas el sábado por la tarde, explica qué es la Biblia y posteriormente se entregan a cada caminante antes de ir a cenar con su mesa. Si da tiempo, se explica los puntos claves (Puntos marcados)",Sabado
14.13. Carta de Jesús,Un servidor dirige en la capilla esta dinámica que se realiza el domingo por la mañana. Suele estar acompañado del ángel de la guarda de caminantes,Domingo
14.14. Historia Gabo,Servidor que explica la historia de Gabo durante la comida del domingo.,Domingo
14.15. Oración Inicio Sábado,"Un servidor dirige en la capilla, previamente a desayunar y empezar el día, unos minutos de oración para los servidores y caminantes.  Se lo preparan ellos.",Sabado
14.16. Oración Domingo,"Un servidor dirige en la capilla, previamente a desayunar y empezar el día, unos minutos de oración para los servidores y caminantes.  Se lo preparan ellos.",Domingo
14.17. Resumen Viernes,Servidor encargado de realizar el sábado por la mañana un resumen de lo vivido el día anterior (viernes) en el retiro.,Sabado
14.18. Resumen Sábado,Servidor encargado de realizar el domingo por la mañana un resumen de lo vivido el día anterior (sábado) en el retiro.,Domingo
15.1. Bendición Cena Viernes,Servidor que con el micrófono dirige la bendición de la mesa de cenar el viernes noche.,Viernes
15.2. Bendición Desayuno Sábado, Servidor que con el micrófono dirige la bendición de la mesa de desayunar el sábado. ,Sabado
15.3. Bendición Comida Sábado,Servidor que con el micrófono dirige la bendición de la mesa de la comida del sábado.,Sabado
